model_version,query_type,device_type,quality_score,latency_ms,cost
A,account,mobile,0.822007192951004,1137.5708392672118,0.3751734132259016
A,technical,mobile,0.927312678301361,1030.4895991439464,0.34232537870076085
A,account,mobile,0.9222742090570538,1132.498071300628,0.41339218189331667
A,account,mobile,0.9981627361652731,1388.572382529386,0.3588232514687075
A,technical,desktop,0.87461108825235,1119.6997369475666,0.3740873680569399
A,technical,mobile,0.900957516383197,1253.768042731443,0.4662638045218519
A,account,desktop,0.9024691841855378,1090.356558642679,0.4413557714282884
A,billing,desktop,0.9688726639881737,1313.688277488543,0.4078987156125726
A,account,mobile,0.8852352233806524,1302.8261608185305,0.3364040499443639
A,account,desktop,0.903951076288517,1477.2913249944618,0.41056982837353295
A,account,desktop,0.920394825485827,1173.6654081751176,0.45313286453937635
A,account,desktop,0.8993304561578179,1300.298220713686,0.38121831671172324
A,technical,desktop,0.8676783192724736,1214.7101309308416,0.4675557044993358
A,account,mobile,0.8997044996449154,1394.3807672794521,0.46463726447591036
A,billing,desktop,0.9436815874929886,1092.1751418586905,0.48318664160717373
A,technical,mobile,0.838674235029447,1311.750796931592,0.41526215632656766
A,billing,desktop,0.8966484837073438,1170.7954055824978,0.42936958499030065
A,billing,desktop,0.8549939592530413,1190.3717734337254,0.47070936441655453
A,billing,mobile,0.9497523314462422,1213.762872667256,0.42236969685344883
A,billing,desktop,0.8138406547608112,1237.8360594640017,0.3749382946104894
A,technical,desktop,0.8620539076364206,1182.5656435317062,0.377572858173607
A,technical,desktop,0.908860593753226,1232.206977475579,0.411927747688687
A,billing,mobile,0.968276201461717,1436.7177086343277,0.33547192890268906
A,billing,desktop,0.8867124869463506,1347.8174528422828,0.3928370542317904
A,technical,mobile,0.8622400236653401,1330.3731888745344,0.4548273559115127
A,technical,desktop,0.9840578534720296,1131.6690710964194,0.29043730744173596
A,technical,mobile,0.8175993049791879,1066.6138757657513,0.4767241050897258
A,account,mobile,0.7800597021689959,1343.295083735663,0.456118710935158
A,account,desktop,0.9120007225026666,1331.4070188794692,0.37701176920847623
A,account,desktop,0.8648972887823695,1420.9006013626472,0.4271695413935905
